Ä£°å,¾ä×Ó±êºÅ
Dec <*> <*> LabSZ <*> reverse mapping checking getaddrinfo for <*> <*> failed - POSSIBLE BREAK-IN ATTEMPT!,"0,14,146,151,158,516,520,528,533,538,542,546,551,555,559,563,567,571,575,579,583,587,591,595,599,603,607,611,615,619,623,627,631,635,639,643,647,651,655,659,663,667,671,675,679,683,687,691,695,699,703,710,714,721,728,735,742,749,756,763,770,777,784,791,795,802,809,813,823,841,850,857,864,871,878,885,892,899,903,907,911,918,925,932,939"
Dec <*> 07:13:56 LabSZ sshd[24227]: PAM <*> more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= <*> user=root,31
Dec <*> 08:39:59 LabSZ sshd[24408]: PAM <*> more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= <*> user=root,286
Dec <*> <*> LabSZ <*> Invalid <*> <*> <*> <*>,"1,8,15,21,48,81,140,152,163,170,177,184,190,197,203,207,223,239,245,257,266,275,288,295,299,305,316,332,341,347,354,364,375,381,390,402,408,414,420,426,432,436,443,452,459,466,477,483,489,495,501,510,524,704,715,722,729,736,743,750,757,764,771,778,785,796,803,814,821,824,837,842,851,858,865,872,879,886,893,912,919,926,933,940,946,957,965,985,1004,1010,1019,1025,1086,1136,1142,1148,1154,1163,1169,1175,1611,1839,1850,1856,1872,1890,1905,1917,1947,1959,1968,1980,1992"
Dec <*> <*> LabSZ <*> input_userauth_request: invalid <*> <*> [preauth],"2,9,16,22,49,82,141,153,164,171,178,185,191,198,204,208,224,240,246,258,267,276,289,296,300,306,317,333,342,348,355,365,376,382,391,403,409,415,421,427,433,437,444,453,460,467,478,484,490,496,502,511,525,705,716,723,730,737,744,751,758,765,772,779,786,797,804,815,822,825,838,843,852,859,866,873,880,887,894,913,920,927,934,941,947,958,966,986,1005,1011,1020,1026,1087,1137,1143,1149,1155,1164,1170,1176,1612,1840,1851,1857,1873,1891,1906,1918,1948,1960,1969,1981,1993"
Dec <*> <*> LabSZ <*> pam_unix(sshd:auth): check <*> <*> unknown,"3,10,17,23,50,83,142,154,165,172,179,186,193,199,209,212,214,216,218,225,228,230,232,234,241,247,250,259,268,277,290,301,307,310,312,318,321,323,325,327,334,337,339,343,349,351,356,366,368,377,383,392,404,410,416,422,428,434,438,445,454,458,461,468,479,485,491,497,503,512,526,706,717,724,731,738,745,752,759,766,773,780,787,798,805,816,826,828,839,844,853,860,867,874,881,888,895,914,921,928,935,942,948,959,987,990,992,994,996,998,1006,1012,1021,1027,1088,1138,1144,1150,1156,1165,1171,1177,1613,1841,1852,1858,1874,1892,1907,1919,1949,1961,1970,1982,1994"
Dec <*> <*> LabSZ <*> Connection closed by <*> [preauth],"6,7,20,149,162,176,183,189,196,202,206,220,236,244,252,256,262,263,281,298,304,314,329,385,474,535,954,968,984,1003,1016,1017,1018,1619"
Dec <*> <*> LabSZ <*> pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= <*>,"4,11,18,24,51,84,143,155,166,173,180,187,194,200,210,226,242,248,260,269,278,291,302,308,319,335,344,350,357,367,378,384,393,405,411,417,423,429,435,439,446,455,462,469,480,486,492,498,504,513,527,707,718,725,732,739,746,753,760,767,774,781,788,799,806,817,827,829,840,845,854,861,868,875,882,889,896,915,922,929,936,943,949,960,988,1007,1013,1022,1028,1089,1139,1145,1151,1157,1166,1172,1178,1614,1842,1853,1859,1875,1893,1908,1920,1950,1962,1971,1983,1995"
Dec <*> <*> LabSZ <*> Failed password for <*> from <*> port <*> ssh2,"28,34,37,40,43,46,55,58,61,64,67,70,73,76,79,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,133,136,148,160,255,273,283,362,373,397,400,450,473,508,518,522,531,536,540,544,548,553,557,561,565,569,573,577,581,585,589,593,597,601,605,609,613,617,621,625,629,633,637,641,645,649,653,657,661,665,669,673,677,681,685,689,693,697,701,712,793,811,835,901,905,909,953,971,974,977,980,983,1032,1035,1038,1041,1044,1047,1050,1053,1056,1059,1062,1065,1068,1071,1074,1077,1080,1083,1090,1095,1098,1101,1104,1107,1110,1113,1116,1119,1122,1125,1128,1131,1134,1161,1182,1185,1188,1191,1194,1197,1200,1203,1206,1209,1212,1215,1218,1221,1224,1227,1230,1233,1236,1239,1242,1245,1248,1251,1254,1257,1260,1263,1266,1269,1272,1275,1278,1281,1284,1287,1290,1293,1296,1299,1302,1305,1308,1311,1314,1317,1320,1323,1326,1329,1332,1335,1338,1341,1344,1347,1350,1353,1356,1359,1362,1365,1368,1371,1374,1377,1380,1383,1386,1389,1392,1395,1398,1401,1404,1407,1410,1413,1416,1419,1422,1425,1428,1431,1434,1437,1440,1443,1446,1449,1452,1455,1458,1461,1464,1467,1470,1473,1476,1479,1482,1485,1488,1491,1494,1497,1500,1503,1506,1509,1512,1515,1518,1521,1524,1527,1530,1533,1536,1539,1542,1545,1548,1551,1554,1557,1560,1563,1566,1569,1572,1575,1578,1581,1584,1587,1590,1593,1596,1599,1602,1605,1608,1615,1620,1623,1626,1629,1632,1635,1638,1641,1644,1647,1650,1653,1656,1659,1662,1665,1668,1671,1674,1677,1680,1683,1686,1689,1692,1695,1698,1701,1704,1707,1710,1713,1716,1719,1722,1725,1728,1731,1734,1737,1740,1743,1746,1749,1752,1755,1758,1761,1764,1767,1770,1773,1776,1779,1782,1785,1788,1791,1794,1797,1800,1803,1806,1809,1812,1815,1818,1821,1824,1827,1830,1833,1836,1843,1848,1865,1867,1869,1876,1881,1885,1888,1894,1899,1902,1909,1914,1921,1926,1930,1933,1935,1939,1942,1944,1951,1956,1963,1972,1977,1984,1989,1996"
Dec <*> <*> LabSZ <*> Accepted password for <*> from <*> port <*> ssh2,955
