Ä£°å,¾ä×Ó±êºÅ
"<*> <*> <*> <*> INFO nova.osapi_compute.wsgi.server <*> <*> <*> - - -] <*> ""GET <*> <*> status: <*> len: <*> time: <*>","0,1,2,3,4,5,9,10,14,15,16,17,18,19,31,32,48,53,55,62,71,72,74,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,94,97,99,100,101,102,103,104,108,109,118,119,138,144,149,153,162,164,169,171,172,173,174,175,176,177,178,179,180,181,182,183,187,188,192,193,194,195,196,200,201,202,211,212,225,232,234,244,253,254,256,257,259,260,261,262,263,264,265,266,267,268,269,270,274,275,276,279,281,282,283,287,288,289,290,291,304,308,319,323,325,335,344,345,347,348,350,351,352,353,354,355,356,357,358,359,360,361,362,363,365,368,372,373,374,375,376,377,378,386,391,392,412,416,421,432,441,442,444,445,447,448,449,450,451,452,453,454,455,456,457,458,459,460,466,468,469,470,471,472,476,477,486,487,498,506,507,514,523,524,526,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,548,550,551,552,553,554,558,559,561,565,574,575,590,595,597,607,616,617,619,620,622,623,624,625,626,627,628,629,630,631,634,636,637,638,642,643,644,645,649,650,651,652,653,655,656,668,669,687,691,696,699,700,701,707,716,717,719,721,722,723,724,725,726,727,728,729,730,731,732,733,734,735,741,743,744,745,746,747,748,752,761,762,775,780,785,792,801,802,804,805,807,808,809,810,811,812,813,814,815,816,817,818,819,820,824,825,829,830,835,836,839,841,842,843,852,853,869,874,876,883,892,893,895,896,898,899,900,901,902,903,904,905,906,907,908,909,913,914,918,919,920,921,925,927,928,929,930,931,940,944,971,976,978,989,990,999,1001,1002,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1026,1027,1028,1029,1030,1031,1039,1043,1044,1045,1061,1066,1071,1075,1084,1085,1087,1089,1090,1091,1092,1093,1094,1095,1096,1097,1098,1099,1100,1101,1106,1107,1114,1115,1116,1117,1118,1119,1123,1124,1133,1134,1146,1153,1155,1162,1171,1172,1174,1176,1177,1178,1179,1180,1181,1182,1183,1184,1185,1186,1187,1188,1189,1190,1197,1198,1199,1200,1202,1203,1207,1208,1209,1213,1219,1220,1245,1249,1251,1265,1274,1275,1277,1279,1280,1281,1282,1283,1284,1285,1286,1287,1288,1289,1290,1294,1295,1297,1299,1302,1303,1306,1308,1309,1310,1311,1321,1322,1326,1327,1347,1351,1353,1360,1369,1370,1372,1373,1375,1376,1377,1378,1379,1380,1381,1382,1383,1384,1389,1390,1391,1392,1396,1399,1401,1402,1403,1404,1405,1406,1418,1419,1434,1438,1443,1447,1456,1457,1459,1460,1462,1463,1464,1465,1466,1467,1468,1469,1470,1471,1472,1473,1474,1475,1482,1484,1485,1486,1487,1488,1489,1492,1494,1495,1503,1504,1518,1525,1527,1541,1550,1551,1553,1555,1556,1557,1558,1559,1560,1561,1562,1563,1564,1565,1566,1567,1571,1572,1576,1577,1578,1579,1580,1584,1585,1586,1589,1596,1597,1600,1626,1630,1632,1642,1651,1652,1654,1655,1657,1658,1659,1660,1661,1662,1663,1664,1665,1666,1674,1675,1676,1677,1681,1682,1683,1684,1688,1689,1690,1691,1703,1704,1718,1723,1724,1731,1740,1741,1743,1744,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1763,1765,1769,1770,1771,1772,1773,1774,1778,1779,1788,1789,1805,1810,1818,1825,1834,1835,1837,1838,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1860,1861,1862,1863,1864,1865,1869,1870,1871,1872,1881,1882,1900,1904,1906,1916,1925,1926,1928,1929,1931,1932,1933,1934,1936,1937,1941,1942,1943,1944,1945,1946,1950,1951,1952,1955,1957,1958,1962,1963,1964,1965,1974,1975,1979,1980,1999"
"<*> <*> <*> <*> INFO nova.osapi_compute.wsgi.server <*> <*> <*> - - -] <*> ""POST <*> <*> status: <*> len: <*> time: <*>","21,60,61,111,151,152,204,236,243,294,330,334,382,423,431,479,509,513,567,599,606,658,698,706,754,787,791,845,878,882,933,980,988,1033,1073,1074,1126,1157,1161,1211,1253,1264,1313,1358,1359,1411,1445,1446,1497,1530,1540,1588,1637,1641,1693,1729,1730,1781,1820,1824,1874,1908,1915,1967"
"<*> <*> <*> <*> INFO nova.metadata.wsgi.server <*> - - - - -] <*> ""GET <*> <*> status: <*> len: <*> time: <*>","40,42,43,49,124,126,128,129,137,216,217,223,312,313,314,317,397,399,402,405,407,410,491,492,493,496,579,580,581,585,587,591,673,674,676,678,680,685,766,768,770,773,776,857,858,859,860,865,945,949,954,956,967,972,1049,1050,1051,1053,1055,1056,1057,1062,1138,1139,1141,1144,1224,1225,1226,1230,1234,1243,1331,1333,1334,1335,1337,1339,1341,1345,1423,1426,1427,1432,1508,1510,1511,1513,1516,1602,1605,1609,1613,1614,1615,1624,1708,1709,1710,1716,1793,1795,1796,1800,1803,1886,1888,1889,1891,1892,1898,1983,1986,1987,1988,1990,1991,1993,1997"
"<*> <*> <*> <*> INFO nova.osapi_compute.wsgi.server <*> <*> <*> - - -] <*> ""DELETE <*> <*> status: <*> len: <*> time: <*>","44,135,221,315,408,494,586,683,771,863,966,1058,1142,1241,1343,1430,1514,1622,1714,1801,1895,1995"
<*> <*> <*> <*> INFO nova.compute.manager <*> <*> <*> - - -] [instance: <*> Took <*> seconds to deallocate network for instance.,"54,145,233,324,417,505,596,692,781,875,977,1154,1250,1352,1439,1631,1722,1811,1905,1067,1526"
<*> <*> <*> <*> INFO nova.compute.manager <*> - - - - -] [instance: <*> VM <*> <*> <*>,"6,7,22,26,91,92,112,116,189,190,205,209,277,278,295,299,364,366,383,389,464,465,480,484,546,547,568,572,639,640,659,663,736,737,755,759,826,827,846,850,915,916,934,938,1020,1021,1034,1040,1110,1111,1127,1131,1194,1195,1212,1217,1298,1300,1314,1318,1393,1394,1412,1416,1476,1477,1498,1502,1573,1574,1590,1594,1678,1679,1694,1698,1760,1762,1782,1786,1857,1858,1875,1879,1953,1954,1968,1972"
<*> <*> <*> <*> INFO nova.virt.libvirt.driver <*> <*> <*> - - -] [instance: <*> Deleting <*> <*> <*>,"50,141,229,320,413,499,592,688,777,871,973,1063,1147,1246,1348,1435,1519,1627,1719,1806,1901"
<*> <*> <*> <*> INFO nova.virt.libvirt.driver <*> <*> <*> - - -] [instance: <*> Deletion <*> <*> <*>,"51,142,230,321,414,500,593,689,778,872,974,1148,1247,1349,1436,1628,1720,1807,1902"
<*> <*> <*> <*> INFO nova.api.openstack.compute.server_external_events <*> <*> <*> - - -] Creating event <*> for instance <*>,"20,110,203,293,381,478,566,657,753,844,932,1032,1125,1210,1312,1410,1496,1587,1692,1780,1873,1966"
<*> <*> <*> <*> INFO nova.virt.libvirt.imagecache <*> - - - - -] Removing base or swap file: <*>,"58,148,242,333,426,512,605,695,790,881,983,1070,1160,1263,1356,1442,1539,1640,1727,1823,1914"
<*> <*> <*> <*> INFO nova.scheduler.host_manager <*> - - - - -] Successfully synced instances from host <*>,"123,393"
<*> <*> <*> <*> INFO nova.virt.libvirt.driver <*> <*> <*> - - -] [instance: <*> Deletion of <*> complete,"1064,1520"
<*> <*> <*> <*> INFO nova.compute.manager <*> - - - - -] [instance: <*> During sync_power_state the instance has a pending task (spawning). Skip.,"8,25,93,115,191,208,280,298,367,388,467,483,549,571,641,662,738,758,828,849,917,937,1022,1113,1130,1196,1216,1301,1317,1395,1415,1478,1575,1593,1680,1697,1764,1785,1859,1878,1956,1971"
<*> <*> <*> <*> INFO nova.compute.manager <*> <*> <*> - - -] [instance: <*> Took <*> seconds to spawn the instance on the hypervisor.,"24,114,207,297,385,482,570,661,757,848,936,1036,1129,1215,1316,1414,1500,1592,1696,1784,1877,1970"
<*> <*> <*> <*> INFO nova.compute.manager <*> <*> <*> - - -] [instance: <*> Took <*> seconds to destroy the instance on the hypervisor.,"52,143,231,322,415,501,594,690,779,873,975,1065,1149,1248,1350,1437,1523,1629,1721,1808,1903"
<*> <*> <*> <*> INFO nova.scheduler.host_manager <*> - - - - -] The instance sync for host <*> did not match. Re-created its InstanceList.,"654,922,1201,1479,1761"
