模板,句子标号
主机*的网口*存在频繁闪断现象，30s内发生*次闪断，请检查网口/网线是否松动,"0,27,55,69,77,80,81,105,111,131,157,158,165,173,183,188,204,205,209,215,225,227,245,291,299,305,320,350,356,357,367,371,376,377,380,417,426,428,454,455,467,472,487,493,494,527,535,562,573,574,577,587,593,599,656,682,688,706,723,735,755,757,768,769,772,786,788,789,808,809,812,823,825,836,839,844,848,866,871,885,897,908,924,935,940,949,977,988,996"
检测到主机*的网口*连接的交换机端口开启了STP功能， 请关闭交换机端口的STP功能,"30,50,75,121,134,171,196,230,335,441,476,479,497,543,729,872,874,946,973,992"
主机*的vxlan口*和主机*的vxlan口不连通，请检查您的数据通信口*配置。,"194,240,282,513,553,681,783,826,984"
HA第*次拉起虚拟机*失败，错误信息：启动虚拟机失败，原因：虚拟机正在开机，请稍后重试！,"430,539,684"
检测到主机*的网口*连接的交换机端口已经关闭了STP功能，,"1,15,21,32,120,144,189,212,261,373,395,411,453,512,522,524,533,572,596,714,787,801,852"
主机*系统分区异常，可能是硬盘有坏道或故障，请联系技术支持,"65,448"
服务器的交换分区空间不足。交换分区当前使用95/100，超出阈值90/100。,777
主机*出现持续丢包错误，请检查网络是否正常,"2,640,738,903,911"
虚拟机*的内存不足。当前使用*，超出阈值*,"3,229,264,266,303,530,601,627,653,749,811,853,894"
主机*的内存不足。当前使用*，超出阈值*,"6,48,308,618,636,639,697,883,953"
主机*的网关*不通，请检查网络连接是否异常,"113,244,270,289,383,398,460,518,659,709,715,822,860,958"
虚拟机*运行异常，HA尝试恢复运行此虚拟机。,"315,666,954"
主机*离线，请检查主机或网络是否异常。,"360,581,928"
主机*的vxlan口*和主机*的vxlan口， 主机*的vxlan口不连通，请检查您的数据通信口*配置。,"4,8,22,31,35,38,44,52,71,83,90,98,100,104,106,109,114,118,124,125,127,130,132,135,136,140,160,170,172,174,177,178,182,186,191,192,193,197,198,222,226,239,250,271,272,274,277,281,292,318,325,326,330,341,344,348,361,365,370,379,385,400,406,410,433,437,445,447,450,457,461,470,474,478,481,486,491,502,503,510,528,545,547,549,556,563,575,585,591,595,597,605,609,612,617,620,629,643,644,662,669,677,680,691,695,718,721,724,726,736,737,739,754,771,776,780,790,795,798,800,802,806,813,829,832,833,841,857,859,873,876,880,886,887,902,906,907,913,916,917,929,930,932,936,939,944,955,961,963,967,969,971,978,989,990,994"
虚拟机*IO读写失败，导致虚拟机异常挂起，请检查存储网络是否断开，如果是网络断开，则重新连接即可自动恢复。,"235,366,381,386,569,951,997"
连接到交换机*的虚拟机或者网络设备存在IP冲突*，可能会导致网络通信异常。请检查该交换机所连接的设备，重新配置IP。,332
虚拟存储*三副本剩余*，剩余容量不足，请尽快添加新的硬盘或主机扩充存储容量。,"5,7,10,12,14,19,20,23,24,25,26,36,39,41,42,45,46,49,56,59,64,68,82,84,88,89,99,102,108,112,115,117,122,123,126,143,147,148,149,155,156,161,163,164,167,176,195,206,207,208,210,211,213,214,216,217,220,221,232,233,234,237,242,247,249,252,253,255,259,265,268,275,276,283,296,300,302,307,311,312,322,323,329,333,337,339,342,347,349,352,355,362,363,375,387,389,390,393,396,399,401,413,414,416,419,423,431,432,434,436,439,446,449,462,466,468,477,480,482,484,488,490,504,505,507,508,511,514,521,529,534,537,540,542,544,546,554,559,561,565,566,567,576,579,582,589,594,600,604,606,614,615,616,619,621,623,628,633,641,645,646,654,658,663,665,670,673,689,690,692,694,699,703,705,707,708,713,725,727,730,733,740,743,752,753,756,761,764,770,774,775,781,782,792,794,797,799,803,804,807,810,815,816,821,824,827,830,831,842,843,846,849,850,851,858,861,864,868,875,877,878,881,882,890,891,893,895,898,905,910,912,914,915,918,919,922,926,931,933,937,942,945,950,959,960,964,965,966,968,972,974,979,981,983,985,986,993,995,998,999"
虚拟机*的网口*连接session数过高。当前session连接数为*，超出阈值*。建议：请检查该虚拟机使用是否正常,"9,13,93,169,635,642,660,896"
主机*的vxlan口*和主机*的vxlan口大数据包*检测不通，请检查您的数据通信口*和交换机MTU配置。,"238,313,314,745"
虚拟网络设备*连接的物理出口*没有桥接该虚拟网络设备所在主机*的网口，这会导致虚拟网络设备*与外部网络不通。,"464,465,499"
主机*的CPU温度* ℃超过限制76.0 ℃，请检查主机散热或机房温度是否异常,"11,96,279,631,751"
主机*的CPU温度* ℃超过限制30.0 ℃，请检查主机散热或机房温度是否异常,661
主机*和主机*之间网络丢包！建议检查主机存储私网网口、交换机网口、私网链路！,"18,79,142,185,241,243,256,284,364,402,407,429,442,443,463,469,509,531,608,683,732,746,805,879,921,927"
NFV设备SSL序列号还有*天就将过期，为了不影响您的正常使用，请尽快续约授权,67
NFV设备AD序列号还有*天就将过期，为了不影响您的正常使用，请尽快续约授权,228
检测到主机*的硬盘*被拔出，如果是误拔，请尽快把硬盘重新插回原盘位！,"394,458,586"
您有 * 天以上没有进行过健康巡检，请访问链接http://adeploy.S.com:8080/download/aDeploy-server-install.zip下载巡检工具进行健康巡检,492
短信功能异常，短信发送模块不能正常发送短信，请检查短信配置是否正确以及网络连接是否正常。,925
主机*可用容量不足10.0/100，请尽快按照下列方式进行处理：*,"16,57,63,94,107,110,133,146,150,269,273,285,309,345,452,459,495,517,519,548,552,588,590,598,648,655,675,701,710,716,728,731,779,784,785,796,818,856,889,934,943,947,970"
主机*可用容量不足5.0/100，请尽快按照下列方式进行处理：*,"218,258,418,637,667,948"
虚拟机*的CPU利用率持续超过90.0/100,"17,139,351,900"
主机*的网关*目前已恢复正常,"33,526,541,957"
主机*的CPU发生了降频！,"37,60,62,76,78,203,372,384,425,501,551,748,956"
虚拟机*的GPU利用率持续超过*,53
网口出现故障eth1发包超时，可能是网口硬件故障，建议尝试禁用/启用网口来恢复,28
服务器的CPU温度*℃超过限制*℃，请检查主机散热或机房温度是否异常。,760
主机*的vxlan口*和主机*的vxlan口， 主机*的vxlan口， 主机*的vxlan口不连通，请检查您的数据通信口*配置。,"29,159,334,391,424,555,909"
主机*的可配置CPU为*，已使用*，使用率超过50.0/100，即将无法运行更多的虚拟机，请把虚拟机不必要的CPU配置降低或者进行扩容,"34,369,409"
主机*的可配置内存大小为*，已使用*，使用率超过90.0/100，即将无法运行更多的虚拟机，请把虚拟机不必要的内存配置降低或者进行扩容,"54,58,61,66,74,85,86,91,92,97,101,103,128,141,152,153,154,179,181,184,187,199,202,219,236,254,257,262,280,287,288,294,295,297,298,304,316,317,319,321,324,331,338,340,346,353,358,368,374,382,403,408,415,422,471,475,483,485,498,500,523,538,550,557,558,564,570,578,584,592,602,603,610,611,624,630,634,638,649,650,664,668,671,674,676,685,687,696,698,702,712,717,719,720,722,744,747,750,759,762,765,766,793,814,820,835,837,838,845,847,854,865,867,870,884,888,892,899"
主机*的vxlan口*和主机*的vxlan口， 主机*的vxlan口大数据包*检测不通，请检查您的数据通信口*和交换机MTU配置。,"40,47,70,72,73,87,119,129,138,145,166,175,200,224,251,263,278,290,293,306,310,328,404,405,412,435,438,440,444,496,515,520,525,560,568,580,613,625,651,652,657,672,679,686,693,700,734,741,742,763,778,791,828,834,855,863,869,901,923,938,941,962"
主机*的网口*发生降速，其所支持的最大速率为：*，单双工模式：Full，而当前速率为：*，单双工模式：Full。,388
服务器的可配置内存大小为100GB，已使用95GB，使用率超过95/100，即将无法运行更多的虚拟机，请把虚拟机不必要的内存配置降低或者进行扩容。,980
用户*使用IP*频繁登录，超过限制,"43,137,151,201,260,378,392,456,473,622,904"
主机*的存储*掉线，请检查存储设备或网络连接是否异常,"51,246,248,982"
虚拟机无响应，虚拟机test 内存故障，已经自动重启恢复,327
授权USB-KEY被拔出，请插入，否则系统可能会有异常,397
检测到虚拟存储集群服务部署异常，请联系S处理。,95
存储*已使用备份空间超过告警阈值，备份存储当前状态：当前备份空间使用率为：98.14/100，当前备份占用空间9.65 TB，配置可用于备份的空间9.83 TB。 建议： *,116
虚拟机*的CDP功能已重新启动，开始创建CDP备份，以完成CDP数据同步。,"162,190,506,704"
控制节点*离线，请检查主机并恢复在线，以保证控制节点的可靠性。,532
运行的重要虚拟机总配置内存达到该服务器可用计算物理内存的95/100，服务器计算物理内存即将被耗尽，可能导致对重要虚拟机的性能优化效果不明显，建议您只对关键业务开启该重要虚拟机选项，减少重要虚拟机的个数。,168
主机网口速率异常，主机*的网口eth1发生降速，其所支持的最大速率为；1000m/s，单双工模式：500m/s，而当前速率为：800m/s，单双工模式：400m/s,"180,267,427"
虚拟机*与物理出口*的连接已删除。,223
主机*的vxlan口*和主机*的vxlan口， 主机*的vxlan口， 主机*的vxlan口大数据包*检测不通，请检查您的数据通信口*和交换机MTU配置。,"231,451,489,773,862,987"
主机*的vxlan口*和主机*的vxlan口， 主机*的vxlan口， 主机*的vxlan口， 主机*的vxlan口， 主机*的vxlan口， 主机*的vxlan口， 主机*的vxlan口， 主机*的vxlan口， 主机*的vxlan口， 主机*的vxlan口， 主机*的vxlan口， 主机*的vxlan口， 主机*的vxlan口， 主机*的vxlan口， 主机*的vxlan口， 主机*的vxlan口不连通，请检查您的数据通信口*配置。,286
物理主机迁移完成，但迁移过程中遇到了坏道，可能导致部分数据异常，建议客户对迁移上来的虚拟机进行业务验证，确保业务正常,301
主机*的网口*掉线。该网口是聚合网口*的一个子口。如果该聚合网口其它网口均不可用，这将引起：物理出口*跨主机通讯失败。建议：请检查该网口网线是否插好。,336
主机*的CPU利用率持续超过50.0/100，请关闭部分虚拟机或迁移部分虚拟机到其他主机,"343,607,632"
主机*的内存条*存在不可纠正内存错误*，已加入主机亚健康列表且在执行虚拟机开机、HA等任务时，不会优先选择此主机。为保障虚拟机业务的稳定性，请立即重启主机并更换内存条。如果已经修复，请*打开亚健康主机列表*，并手动将主机从中移除。,"354,420,421,711,840"
虚拟存储*当前已使用92.6/100，超过阈值90.0/100，如果存储空间用尽，会导致虚拟机卡死，请尽快添加新的硬盘或主机以扩充存储容量。,359
在*秒内，磁盘sdlIO读请求平均等待时间均值>15.00ms，当前值：16.83ms；磁盘读取延时过高，云主机读取性能可能已受到影响,516
磁盘sdgIO每秒加权时间算法检测异常，当前值：0.00ms/s；磁盘平均队列长度过长，磁盘延时可能较高，云主机IO性能受到影响,536
主机*系统盘出现坏道，已加入主机亚健康列表且在执行虚拟机开机、HA等任务时，不会优先选择此主机,571
主机*检测到具有多张不同类型显卡硬件，请移除异构显卡，否则GPU虚拟机无法运行在该主机上,817
服务内存使用率过高,583
主机*的网口*掉线。该网口是聚合网口*的一个子口。如果该聚合网口其它网口均不可用，这将引起：数据通信网口异常，导致分布式交换机跨主机通讯失败、路由器HA功能失效。建议：请检查该网口网线是否插好。,"626,647"
设备*与安全中心网络不通，请检查设备网络是否正常！,678
通信口收发包异常请检查该eth1是否性能不足或网络异常,920
主机计算内存剩余不足,758
网口异常,"767,991"
虚拟网络设备*的CPU使用率持续超过90.0/100,819
虚拟机*的网口*连接session数过高。当前session连接数为*，超出阈值*。建议：请检查该虚拟机使用是否正常。,952
检测到集群存在*个超融合平台授权USB-KEY，多KEY会导致授权异常，集群仅支持一个KEY，请拔除多余的USB-KEY，或者使用云管平台纳管集群则不影响授权。,"975,976"
